Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Younger	1	infpar	H1_beta_dosage	1.1	178	0.051	0.183	0.7791966347763	0.833461713382885
All	Older	2	infpar	H1_beta_dosage	1.125	211	-0.133	0.164	0.415666698709466	0.660842351571823
All	Younger	2	infpar	H1_beta_dosage	1.117	245	-0.111	0.159	0.483414853544926	0.682468028534013
Cases	Older	2	infpar	H1_beta_dosage	1.098	172	-0.165	0.183	0.368824394354395	0.63227039032182
Cases	Younger	2	infpar	H1_beta_dosage	1.077	163	0.148	0.2	0.461367456802316	0.671079937167005
All	Older	3	infpar	H1_beta_dosage*footyrs	1.125	211	0.052	0.029	0.0743740446541066	0.228729661786819
All	Younger	3	infpar	H1_beta_dosage*footyrs	1.117	245	0.079	0.035	0.026899807401596	0.184455822182373
Cases	Older	3	infpar	H1_beta_dosage*footyrs	1.098	172	0.072	0.035	0.0387557183446945	0.193352857903522
Cases	Younger	3	infpar	H1_beta_dosage*footyrs	1.077	163	0.047	0.046	0.309489799119879	0.556262830293675
All	NA	4	infpar	H1_beta_dosage*stratum	1.127	537	-0.044	0.193	0.819511368030381	0.846792031665047
Cases	NA	4	infpar	H1_beta_dosage*stratum	1.098	372	-0.127	0.243	0.601374546255163	0.719440000737935
All	Older	1	loccoer	H1_beta_dosage	1.13	253	-0.034	0.154	0.826857017582285	0.862807322694558
All	Younger	1	loccoer	H1_beta_dosage	1.123	284	0.093	0.137	0.497624100683516	0.746436151025274
Cases	Older	1	loccoer	H1_beta_dosage	1.096	194	-0.09	0.186	0.631645775210303	0.822735810952382
Cases	Younger	1	loccoer	H1_beta_dosage	1.1	178	0.267	0.197	0.178167156289738	0.356334312579476
All	Older	2	loccoer	H1_beta_dosage	1.125	211	-0.153	0.177	0.391382812838165	0.64780603504248
All	Younger	2	loccoer	H1_beta_dosage	1.117	245	0.064	0.158	0.68738743387802	0.824864920653624
Cases	Older	2	loccoer	H1_beta_dosage	1.098	172	-0.167	0.209	0.426794018723469	0.660842351571823
Cases	Younger	2	loccoer	H1_beta_dosage	1.077	163	0.388	0.221	0.0826676876283308	0.259925838646405
All	Older	3	loccoer	H1_beta_dosage*footyrs	1.125	211	0.015	0.031	0.63481398468304	0.77893251321399
All	Younger	3	loccoer	H1_beta_dosage*footyrs	1.117	245	0.024	0.036	0.509340463808273	0.698524064651346
Cases	Older	3	loccoer	H1_beta_dosage*footyrs	1.098	172	0.008	0.037	0.836436285832198	0.91247594818058
Cases	Younger	3	loccoer	H1_beta_dosage*footyrs	1.077	163	-0.017	0.056	0.756503658761249	0.864575610012856
All	NA	4	loccoer	H1_beta_dosage*stratum	1.127	537	-0.062	0.205	0.764700490260311	0.834218716647612
Cases	NA	4	loccoer	H1_beta_dosage*stratum	1.098	372	-0.346	0.273	0.206681616187548	0.559514047096111
All	Older	1	midfront	H1_beta_dosage	1.13	253	-0.29	0.146	0.048152189406494	0.18603171305499
All	Younger	1	midfront	H1_beta_dosage	1.123	284	-0.02	0.135	0.882350486477518	0.882350486477518
Cases	Older	1	midfront	H1_beta_dosage	1.096	194	-0.356	0.174	0.0425166086559869	0.18603171305499
Cases	Younger	1	midfront	H1_beta_dosage	1.1	178	0.243	0.183	0.186955222118695	0.358954026467894
All	Older	2	midfront	H1_beta_dosage	1.125	211	-0.341	0.172	0.0486979376059922	0.227636570429686
All	Younger	2	midfront	H1_beta_dosage	1.117	245	-0.115	0.154	0.456274082006688	0.671079937167005
Cases	Older	2	midfront	H1_beta_dosage	1.098	172	-0.4	0.195	0.0417269313203597	0.227636570429686
Cases	Younger	2	midfront	H1_beta_dosage	1.077	163	0.21	0.199	0.292613560120177	0.520201884658092
All	Older	3	midfront	H1_beta_dosage*footyrs	1.125	211	0.011	0.029	0.708727366973074	0.829729600358721
All	Younger	3	midfront	H1_beta_dosage*footyrs	1.117	245	0.066	0.035	0.060901024868329	0.224865322590753
Cases	Older	3	midfront	H1_beta_dosage*footyrs	1.098	172	0.02	0.035	0.560782797993857	0.747710397325143
Cases	Younger	3	midfront	H1_beta_dosage*footyrs	1.077	163	-0.001	0.048	0.989527354110626	0.989527354110626
All	NA	4	midfront	H1_beta_dosage*stratum	1.127	537	-0.148	0.195	0.447403536245435	0.671105304368153
Cases	NA	4	midfront	H1_beta_dosage*stratum	1.098	372	-0.419	0.247	0.0910617325778935	0.367689137109819
All	Older	1	suptemp	H1_beta_dosage	1.13	253	-0.241	0.146	0.100084798911297	0.318499060571926
All	Younger	1	suptemp	H1_beta_dosage	1.123	284	0.023	0.138	0.867806240722842	0.882350486477518
Cases	Older	1	suptemp	H1_beta_dosage	1.096	194	-0.365	0.173	0.0360790376248696	0.18603171305499
Cases	Younger	1	suptemp	H1_beta_dosage	1.1	178	0.27	0.188	0.152229939502751	0.333485505841636
All	Older	2	suptemp	H1_beta_dosage	1.125	211	-0.284	0.168	0.092057067853935	0.259925838646405
All	Younger	2	suptemp	H1_beta_dosage	1.117	245	-0.083	0.161	0.606575406802902	0.766200513856297
Cases	Older	2	suptemp	H1_beta_dosage	1.098	172	-0.299	0.186	0.11140793745059	0.281451631454122
Cases	Younger	2	suptemp	H1_beta_dosage	1.077	163	0.227	0.21	0.280668939201882	0.520201884658092
All	Older	3	suptemp	H1_beta_dosage*footyrs	1.125	211	0.063	0.029	0.0314178593838714	0.188507156303228
All	Younger	3	suptemp	H1_beta_dosage*footyrs	1.117	245	0.071	0.035	0.0470706615540402	0.193352857903522
Cases	Older	3	suptemp	H1_beta_dosage*footyrs	1.098	172	0.097	0.036	0.00801854015651782	0.0950119792907145
Cases	Younger	3	suptemp	H1_beta_dosage*footyrs	1.077	163	0.065	0.049	0.187301645940895	0.428118047864903
All	NA	4	suptemp	H1_beta_dosage*stratum	1.127	537	-0.122	0.195	0.534293628300961	0.712391504401281
Cases	NA	4	suptemp	H1_beta_dosage*stratum	1.098	372	-0.467	0.251	0.063835167797895	0.367689137109819
All	Older	1	CTEstage	H1_beta_dosage	1.13	253	-0.398	0.143	0.00595258121287934	0.169667821115521
