Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	NA	4	entorhinal	H1_gamma_dosage*stratum	1.072	372	-0.218	0.223	0.329042307597565	0.459803529407325
All	Older	1	inforbfront	H1_gamma_dosage	1.073	253	-0.231	0.136	0.0915823016116304	0.31162601563126
All	Younger	1	inforbfront	H1_gamma_dosage	1.091	284	0.14	0.128	0.273644938675785	0.447823734312526
Cases	Older	1	inforbfront	H1_gamma_dosage	1.046	194	-0.261	0.157	0.0973831298847687	0.31162601563126
Cases	Younger	1	inforbfront	H1_gamma_dosage	1.101	178	0.05	0.152	0.744761562069364	0.794412332873988
All	Older	2	inforbfront	H1_gamma_dosage	1.06	211	-0.251	0.155	0.107096513174171	0.428386052696684
All	Younger	2	inforbfront	H1_gamma_dosage	1.095	245	-0.088	0.142	0.53444891257218	0.787550921989401
Cases	Older	2	inforbfront	H1_gamma_dosage	1.032	172	-0.201	0.169	0.235314947673378	0.594479867806429
Cases	Younger	2	inforbfront	H1_gamma_dosage	1.1	163	-0.087	0.161	0.590663191492051	0.787550921989401
All	Older	3	inforbfront	H1_gamma_dosage*footyrs	1.06	211	0.031	0.028	0.270732138603923	0.621848034335873
All	Younger	3	inforbfront	H1_gamma_dosage*footyrs	1.095	245	0.003	0.029	0.918822060509338	0.984201355092433
Cases	Older	3	inforbfront	H1_gamma_dosage*footyrs	1.032	172	-0.017	0.034	0.605610252361607	0.830551203238775
Cases	Younger	3	inforbfront	H1_gamma_dosage*footyrs	1.1	163	0.021	0.032	0.514200420060553	0.747927883724441
All	NA	4	inforbfront	H1_gamma_dosage*stratum	1.082	537	-0.307	0.18	0.0898880994631792	0.21573143871163
Cases	NA	4	inforbfront	H1_gamma_dosage*stratum	1.072	372	-0.167	0.213	0.434446596490071	0.521335915788085
All	Older	1	infpar	H1_gamma_dosage	1.073	253	-0.257	0.134	0.0570975174506698	0.274068083763215
All	Younger	1	infpar	H1_gamma_dosage	1.091	284	0.165	0.127	0.196080063899512	0.427811048508026
Cases	Older	1	infpar	H1_gamma_dosage	1.046	194	-0.271	0.152	0.0764611600202825	0.282318129305658
Cases	Younger	1	infpar	H1_gamma_dosage	1.101	178	0.112	0.153	0.466810797331606	0.615153112338379
All	Older	2	infpar	H1_gamma_dosage	1.06	211	-0.247	0.151	0.102357936642689	0.428386052696684
All	Younger	2	infpar	H1_gamma_dosage	1.095	245	-0.029	0.14	0.836843664076431	0.894974593526422
Cases	Older	2	infpar	H1_gamma_dosage	1.032	172	-0.221	0.163	0.17679840360655	0.499195492536141
Cases	Younger	2	infpar	H1_gamma_dosage	1.1	163	0.035	0.161	0.827358113260103	0.894974593526422
All	Older	3	infpar	H1_gamma_dosage*footyrs	1.06	211	0.033	0.026	0.212848444129696	0.621848034335873
All	Younger	3	infpar	H1_gamma_dosage*footyrs	1.095	245	0.001	0.029	0.984201355092433	0.984201355092433
Cases	Older	3	infpar	H1_gamma_dosage*footyrs	1.032	172	0.015	0.032	0.642857979989759	0.857143973319679
Cases	Younger	3	infpar	H1_gamma_dosage*footyrs	1.1	163	0.006	0.033	0.864826031259793	0.984201355092433
All	NA	4	infpar	H1_gamma_dosage*stratum	1.082	537	-0.385	0.18	0.0334171980674709	0.16040255072386
Cases	NA	4	infpar	H1_gamma_dosage*stratum	1.072	372	-0.269	0.211	0.204310739462983	0.377189057470122
All	Older	1	loccoer	H1_gamma_dosage	1.073	253	-0.026	0.145	0.859561936827403	0.896934194950334
All	Younger	1	loccoer	H1_gamma_dosage	1.091	284	0.153	0.132	0.246069605851005	0.447823734312526
Cases	Older	1	loccoer	H1_gamma_dosage	1.046	194	-0.115	0.165	0.487250683036869	0.615153112338379
Cases	Younger	1	loccoer	H1_gamma_dosage	1.101	178	0.144	0.173	0.408218703406508	0.593772659500375
All	Older	2	loccoer	H1_gamma_dosage	1.06	211	0.008	0.163	0.961696051800586	0.965959544552658
All	Younger	2	loccoer	H1_gamma_dosage	1.095	245	0.057	0.146	0.694561891678681	0.854845405142992
Cases	Older	2	loccoer	H1_gamma_dosage	1.032	172	-0.036	0.175	0.836728835709292	0.894974593526422
Cases	Younger	2	loccoer	H1_gamma_dosage	1.1	163	0.099	0.183	0.588661645029725	0.787550921989401
All	Older	3	loccoer	H1_gamma_dosage*footyrs	1.06	211	0.046	0.031	0.133023170120992	0.621848034335873
All	Younger	3	loccoer	H1_gamma_dosage*footyrs	1.095	245	-0.007	0.029	0.815728846880847	0.97403920558921
Cases	Older	3	loccoer	H1_gamma_dosage*footyrs	1.032	172	0.035	0.037	0.343416605029671	0.646922062574413
