Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	NA	4	entorhinal	H2_gamma_dosage*stratum	0.346	372	0.324	0.21	0.123788233848782	0.198123353745299
All	Older	1	inforbfront	H2_gamma_dosage	0.34	226	0.207	0.136	0.128507348730478	0.257125492399713
All	Younger	1	inforbfront	H2_gamma_dosage	0.391	232	-0.101	0.125	0.419260493270044	0.567817353370045
Cases	Older	1	inforbfront	H2_gamma_dosage	0.379	173	0.288	0.16	0.0733778046940725	0.230664584692643
Cases	Younger	1	inforbfront	H2_gamma_dosage	0.396	140	-0.079	0.149	0.595263366530541	0.715277151243067
All	Older	2	inforbfront	H2_gamma_dosage	0.339	192	0.233	0.152	0.127553714707014	0.375886427849784
All	Younger	2	inforbfront	H2_gamma_dosage	0.379	200	-0.024	0.138	0.863398113390011	0.955482817132476
Cases	Older	2	inforbfront	H2_gamma_dosage	0.379	156	0.225	0.17	0.188099265715268	0.429941178777755
Cases	Younger	2	inforbfront	H2_gamma_dosage	0.406	127	-0.024	0.155	0.875859249038103	0.955482817132476
All	Older	3	inforbfront	H2_gamma_dosage*footyrs	0.339	192	-0.072	0.029	0.014329175492636	0.172060898681971
All	Younger	3	inforbfront	H2_gamma_dosage*footyrs	0.379	200	-0.031	0.029	0.291968621632533	0.657707102231928
Cases	Older	3	inforbfront	H2_gamma_dosage*footyrs	0.379	156	-0.057	0.032	0.0820635349972072	0.372041668843249
Cases	Younger	3	inforbfront	H2_gamma_dosage*footyrs	0.406	127	-0.018	0.035	0.612097254630033	0.794072114114637
All	NA	4	inforbfront	H2_gamma_dosage*stratum	0.333	537	0.267	0.168	0.113303276344289	0.198123353745299
Cases	NA	4	inforbfront	H2_gamma_dosage*stratum	0.346	372	0.271	0.2	0.176075049616891	0.264112574425336
All	Older	1	infpar	H2_gamma_dosage	0.34	226	0.16	0.132	0.227204008680959	0.389492586310215
All	Younger	1	infpar	H2_gamma_dosage	0.391	232	-0.196	0.129	0.130471716878878	0.257125492399713
Cases	Older	1	infpar	H2_gamma_dosage	0.379	173	0.19	0.151	0.209344551369069	0.372168091322789
Cases	Younger	1	infpar	H2_gamma_dosage	0.396	140	-0.143	0.153	0.352136005613078	0.524093298893375
All	Older	2	infpar	H2_gamma_dosage	0.339	192	0.13	0.148	0.383878333918326	0.594392258970311
All	Younger	2	infpar	H2_gamma_dosage	0.379	200	-0.137	0.141	0.330561006114987	0.528897609783979
Cases	Older	2	infpar	H2_gamma_dosage	0.379	156	0.166	0.163	0.310201216999536	0.51343649710268
Cases	Younger	2	infpar	H2_gamma_dosage	0.406	127	-0.17	0.159	0.287624219408055	0.51343649710268
All	Older	3	infpar	H2_gamma_dosage*footyrs	0.339	192	-0.06	0.028	0.0338318622361047	0.324785877466605
All	Younger	3	infpar	H2_gamma_dosage*footyrs	0.379	200	-0.018	0.029	0.539989751780789	0.785439638953875
Cases	Older	3	infpar	H2_gamma_dosage*footyrs	0.379	156	-0.062	0.032	0.0557605090033124	0.334563054019874
Cases	Younger	3	infpar	H2_gamma_dosage*footyrs	0.406	127	-0.008	0.033	0.81432390078324	0.890751239474508
All	NA	4	infpar	H2_gamma_dosage*stratum	0.333	537	0.331	0.17	0.0516676742409479	0.184151117865272
Cases	NA	4	infpar	H2_gamma_dosage*stratum	0.346	372	0.308	0.2	0.123827096090812	0.198123353745299
All	Older	1	loccoer	H2_gamma_dosage	0.34	226	-0.14	0.148	0.346800988848555	0.524093298893375
All	Younger	1	loccoer	H2_gamma_dosage	0.391	232	-0.119	0.133	0.371182128706551	0.524093298893375
Cases	Older	1	loccoer	H2_gamma_dosage	0.379	173	-0.052	0.169	0.760625634611459	0.84907047584535
Cases	Younger	1	loccoer	H2_gamma_dosage	0.396	140	-0.183	0.175	0.300802110563596	0.481283376901754
All	Older	2	loccoer	H2_gamma_dosage	0.339	192	-0.043	0.169	0.798488614675047	0.934815939131762
All	Younger	2	loccoer	H2_gamma_dosage	0.379	200	-0.045	0.143	0.75377566921659	0.933379527002453
Cases	Older	2	loccoer	H2_gamma_dosage	0.379	156	-0.007	0.186	0.969077154782454	0.969077154782454
Cases	Younger	2	loccoer	H2_gamma_dosage	0.406	127	-0.191	0.183	0.299226044105595	0.51343649710268
All	Older	3	loccoer	H2_gamma_dosage*footyrs	0.339	192	-0.027	0.032	0.400799326649658	0.657707102231928
All	Younger	3	loccoer	H2_gamma_dosage*footyrs	0.379	200	0.03	0.033	0.358040611654285	0.657707102231928
Cases	Older	3	loccoer	H2_gamma_dosage*footyrs	0.379	156	-0.026	0.034	0.450134621487683	0.676653669429351
Cases	Younger	3	loccoer	H2_gamma_dosage*footyrs	0.406	127	0.05	0.04	0.218988396672454	0.583969057793211
All	NA	4	loccoer	H2_gamma_dosage*stratum	0.333	537	0.086	0.182	0.639763273450862	0.639763273450862
Cases	NA	4	loccoer	H2_gamma_dosage*stratum	0.346	372	0.17	0.23	0.461977463337453	0.503975414549949
All	Older	1	midfront	H2_gamma_dosage	0.34	226	0.2	0.138	0.150409622703277	0.277679303452204
All	Younger	1	midfront	H2_gamma_dosage	0.391	232	-0.065	0.123	0.600312093036535	0.715277151243067
Cases	Older	1	midfront	H2_gamma_dosage	0.379	173	0.319	0.165	0.0548268327192387	0.230664584692643
Cases	Younger	1	midfront	H2_gamma_dosage	0.396	140	-0.178	0.152	0.241687200264553	0.400033986644777
All	Older	2	midfront	H2_gamma_dosage	0.339	192	0.197	0.159	0.215625459448266	0.438034689803944
All	Younger	2	midfront	H2_gamma_dosage	0.379	200	0.038	0.135	0.777816272502044	0.933379527002453
Cases	Older	2	midfront	H2_gamma_dosage	0.379	156	0.297	0.178	0.0974860588018114	0.349577344778318
Cases	Younger	2	midfront	H2_gamma_dosage	0.406	127	-0.127	0.158	0.422649578092637	0.633974367138955
All	Older	3	midfront	H2_gamma_dosage*footyrs	0.339	192	-0.037	0.029	0.209389221185661	0.583969057793211
All	Younger	3	midfront	H2_gamma_dosage*footyrs	0.379	200	-0.026	0.031	0.406459058787351	0.657707102231928
Cases	Older	3	midfront	H2_gamma_dosage*footyrs	0.379	156	-0.017	0.033	0.611181821317663	0.794072114114637
Cases	Younger	3	midfront	H2_gamma_dosage*footyrs	0.406	127	-0.008	0.036	0.816521969518299	0.890751239474508
All	NA	4	midfront	H2_gamma_dosage*stratum	0.333	537	0.305	0.17	0.0735406981836357	0.196108528489695
Cases	NA	4	midfront	H2_gamma_dosage*stratum	0.346	372	0.37	0.204	0.0703125568329082	0.196108528489695
All	Older	1	suptemp	H2_gamma_dosage	0.34	226	0.245	0.145	0.0936528642510934	0.249740971336249
All	Younger	1	suptemp	H2_gamma_dosage	0.391	232	-0.199	0.125	0.113859321042196	0.255115328511982
Cases	Older	1	suptemp	H2_gamma_dosage	0.379	173	0.438	0.168	0.00994487940272881	0.119338552832746
Cases	Younger	1	suptemp	H2_gamma_dosage	0.396	140	-0.273	0.154	0.0782501946118686	0.230664584692643
All	Older	2	suptemp	H2_gamma_dosage	0.339	192	0.293	0.163	0.0736350301369764	0.349577344778318
All	Younger	2	suptemp	H2_gamma_dosage	0.379	200	-0.141	0.138	0.308955317715352	0.51343649710268
Cases	Older	2	suptemp	H2_gamma_dosage	0.379	156	0.379	0.178	0.0354227411677712	0.212536447006627
Cases	Younger	2	suptemp	H2_gamma_dosage	0.406	127	-0.239	0.16	0.139391911314407	0.375886427849784
All	Older	3	suptemp	H2_gamma_dosage*footyrs	0.339	192	-0.079	0.03	0.00791033109334127	0.172060898681971
All	Younger	3	suptemp	H2_gamma_dosage*footyrs	0.379	200	-0.008	0.029	0.775463599049351	0.886244113199258
Cases	Older	3	suptemp	H2_gamma_dosage*footyrs	0.379	156	-0.07	0.034	0.0406593654945928	0.325274923956742
Cases	Younger	3	suptemp	H2_gamma_dosage*footyrs	0.406	127	-0.003	0.034	0.932051431112014	0.951882312625036
All	NA	4	suptemp	H2_gamma_dosage*stratum	0.333	537	0.376	0.174	0.0307349474570828	0.184151117865272
Cases	NA	4	suptemp	H2_gamma_dosage*stratum	0.346	372	0.51	0.206	0.013925789793001	0.167109477516012
All	Older	1	CTEstage	H2_gamma_dosage	0.34	226	0.426	0.142	0.00306357516962086	0.0490172027139338
All	Younger	1	CTEstage	H2_gamma_dosage	0.393	231	-0.092	0.119	0.437692543222743	0.567817353370045
Cases	Older	1	CTEstage	H2_gamma_dosage	0.379	173	0.368	0.165	0.0273238506991116	0.218590805592893
Cases	Younger	1	CTEstage	H2_gamma_dosage	0.399	139	-0.275	0.154	0.0771884904181483	0.230664584692643
All	Older	2	CTEstage	H2_gamma_dosage	0.339	192	0.477	0.167	0.00493616687288512	0.0789786699661619
All	Younger	2	CTEstage	H2_gamma_dosage	0.379	200	-0.061	0.13	0.641802786725884	0.832609020617363
Cases	Older	2	CTEstage	H2_gamma_dosage	0.379	156	0.299	0.177	0.0932137829880246	0.349577344778318
Cases	Younger	2	CTEstage	H2_gamma_dosage	0.406	127	-0.253	0.161	0.11879979971311	0.375886427849784
All	Older	3	CTEstage	H2_gamma_dosage*footyrs	0.339	192	-0.066	0.033	0.047538013456768	0.325974949417838
