Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	NA	4	inforbfront	H2_alpha_dosage*stratum	0.244	372	0.327	0.278	0.240804023875931	0.3351560738371
All	Older	1	infpar	H2_alpha_dosage	0.241	226	0.156	0.186	0.403688723282306	0.609780425085306
All	Younger	1	infpar	H2_alpha_dosage	0.285	232	-0.27	0.178	0.131304937833168	0.420000258842686
Cases	Older	1	infpar	H2_alpha_dosage	0.264	173	0.188	0.213	0.379454027872371	0.609780425085306
Cases	Younger	1	infpar	H2_alpha_dosage	0.281	140	-0.157	0.21	0.457144164412302	0.664936966417894
All	Older	2	infpar	H2_alpha_dosage	0.24	192	0.113	0.208	0.58694109409562	0.8099898270963
All	Younger	2	infpar	H2_alpha_dosage	0.276	200	-0.208	0.193	0.28416375614945	0.579160465448596
Cases	Older	2	infpar	H2_alpha_dosage	0.262	156	0.15	0.231	0.517205226316233	0.772727684849261
Cases	Younger	2	infpar	H2_alpha_dosage	0.286	127	-0.224	0.221	0.31401044078407	0.602900046305414
All	Older	3	infpar	H2_alpha_dosage*footyrs	0.24	192	-0.078	0.04	0.0538503443327489	0.258264404800349
All	Younger	3	infpar	H2_alpha_dosage*footyrs	0.276	200	-0.03	0.038	0.433539607377391	0.671287134003702
Cases	Older	3	infpar	H2_alpha_dosage*footyrs	0.262	156	-0.09	0.047	0.0580414325023484	0.258264404800349
Cases	Younger	3	infpar	H2_alpha_dosage*footyrs	0.286	127	-0.019	0.044	0.666801894392004	0.768417437742728
All	NA	4	infpar	H2_alpha_dosage*stratum	0.24	537	0.404	0.235	0.085188668034041	0.221570943768236
Cases	NA	4	infpar	H2_alpha_dosage*stratum	0.244	372	0.326	0.278	0.240922266893659	0.3351560738371
All	Older	1	loccoer	H2_alpha_dosage	0.241	226	-0.138	0.205	0.5011551323994	0.687298467290606
All	Younger	1	loccoer	H2_alpha_dosage	0.285	232	-0.086	0.184	0.640735545368972	0.742023765474708
Cases	Older	1	loccoer	H2_alpha_dosage	0.264	173	-0.011	0.235	0.961637740543939	0.972211640113484
Cases	Younger	1	loccoer	H2_alpha_dosage	0.281	140	-0.145	0.239	0.547147332239948	0.694192842110204
All	Older	2	loccoer	H2_alpha_dosage	0.24	192	-0.003	0.231	0.988994695232681	0.988994695232681
All	Younger	2	loccoer	H2_alpha_dosage	0.276	200	0.005	0.195	0.979744502408603	0.988994695232681
Cases	Older	2	loccoer	H2_alpha_dosage	0.262	156	0.058	0.257	0.820938521041637	0.916396488604618
Cases	Younger	2	loccoer	H2_alpha_dosage	0.286	127	-0.189	0.253	0.45777422564538	0.708811704225105
All	Older	3	loccoer	H2_alpha_dosage*footyrs	0.24	192	-0.029	0.045	0.524834777194096	0.725790633632777
All	Younger	3	loccoer	H2_alpha_dosage*footyrs	0.276	200	0.027	0.043	0.5292223370239	0.725790633632777
Cases	Older	3	loccoer	H2_alpha_dosage*footyrs	0.262	156	-0.038	0.051	0.454458524984295	0.681687787476443
Cases	Younger	3	loccoer	H2_alpha_dosage*footyrs	0.286	127	0.054	0.052	0.305920266369043	0.53938315739586
All	NA	4	loccoer	H2_alpha_dosage*stratum	0.24	537	0.112	0.248	0.652393817685404	0.652393817685404
Cases	NA	4	loccoer	H2_alpha_dosage*stratum	0.244	372	0.232	0.315	0.464029545327628	0.506214049448321
All	Older	1	midfront	H2_alpha_dosage	0.241	226	0.279	0.196	0.154814140096764	0.420000258842686
All	Younger	1	midfront	H2_alpha_dosage	0.285	232	-0.101	0.169	0.549569333337245	0.694192842110204
Cases	Older	1	midfront	H2_alpha_dosage	0.264	173	0.44	0.236	0.0635982213659076	0.379333171501394
Cases	Younger	1	midfront	H2_alpha_dosage	0.281	140	-0.178	0.207	0.390561994762853	0.609780425085306
All	Older	2	midfront	H2_alpha_dosage	0.24	192	0.292	0.224	0.192723423661213	0.544160255043425
All	Younger	2	midfront	H2_alpha_dosage	0.276	200	0.056	0.186	0.763403741673343	0.893740965861475
Cases	Older	2	midfront	H2_alpha_dosage	0.262	156	0.437	0.259	0.0936260728886817	0.348926337392823
Cases	Younger	2	midfront	H2_alpha_dosage	0.286	127	-0.1	0.219	0.647331934334962	0.839781968866978
All	Older	3	midfront	H2_alpha_dosage*footyrs	0.24	192	-0.058	0.041	0.156285210309602	0.447036462086324
All	Younger	3	midfront	H2_alpha_dosage*footyrs	0.276	200	-0.041	0.041	0.325877324259999	0.53938315739586
Cases	Older	3	midfront	H2_alpha_dosage*footyrs	0.262	156	-0.048	0.049	0.32317952841142	0.53938315739586
Cases	Younger	3	midfront	H2_alpha_dosage*footyrs	0.286	127	-0.02	0.047	0.680551430431028	0.768417437742728
