Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	CA2	HLA_C.08	0.033	458	0.414	0.364	0.256143016106928	0.998825943195549
All	1	CA2	HLA_C.08.02	0.033	458	0.414	0.364	0.256143016106928	0.998825943195549
All	1	CA2	HLA_C.08.04	0	458	All	1	CA2	NA
All	1	CA2	HLA_C.12	0.07	458	0.035	0.276	0.900004870537418	0.998825943195549
All	1	CA2	HLA_C.12.02	0.011	458	0.075	0.584	0.898281029317075	0.998825943195549
All	1	CA2	HLA_C.12.03	0.059	458	0.018	0.301	0.952343634843337	0.998825943195549
All	1	CA2	HLA_C.14	0.005	458	0.145	0.826	0.860447692890931	0.998825943195549
All	1	CA2	HLA_C.14.02	0.005	458	0.145	0.826	0.860447692890931	0.998825943195549
All	1	CA2	HLA_C.15	0.043	458	-0.669	0.337	0.0478511746957968	0.998825943195549
All	1	CA2	HLA_C.15.02	0.037	458	-0.647	0.367	0.0789999046693306	0.998825943195549
All	1	CA2	HLA_C.15.05	0.005	458	-1.022	0.967	0.290947354606699	0.998825943195549
All	1	CA2	HLA_C.16	0.041	458	0.211	0.335	0.529480232842016	0.998825943195549
All	1	CA2	HLA_C.16.01	0.037	458	0.315	0.361	0.383631263551573	0.998825943195549
All	1	CA2	HLA_C.16.02	0.004	458	-0.422	0.894	0.637359122172708	0.998825943195549
All	1	CA2	HLA_C.17	0.01	458	0.61	0.626	0.330632099116331	0.998825943195549
All	1	CA2	HLA_C.17.01	0.01	458	0.61	0.626	0.330632099116331	0.998825943195549
All	1	CA2	HLA_C.18	0	458	-48.942	6.001	0.98436058292669	0.998825943195549
All	1	CA2	HLA_C.18.01	0	458	12544.467	54.026	0.990451691761766	0.998825943195549
All	1	CA2	HLA_DPA1.01	0.827	458	-0.199	0.172	0.247820748042749	0.998825943195549
All	1	CA2	HLA_DPA1.01.03	0.819	458	-0.207	0.171	0.226062097893899	0.998825943195549
All	1	CA2	HLA_DPA1.01.08	0.004	458	0.557	1.137	0.624887063839398	0.998825943195549
All	1	CA2	HLA_DPA1.02	0.17	458	0.177	0.171	0.302025657288851	0.998825943195549
All	1	CA2	HLA_DPA1.02.01	0.143	458	0.242	0.188	0.197852448302645	0.998825943195549
All	1	CA2	HLA_DPA1.02.02	0.028	458	-0.123	0.418	0.768879859763924	0.998825943195549
All	1	CA2	HLA_DPA1.03	0	458	38.265	1.036	0.266324614575659	0.998825943195549
All	1	CA2	HLA_DPA1.03.02	0	458	132.859	6.284	0.992827941255728	0.998825943195549
All	1	CA2	HLA_DPA1.03.03	0	458	45.597	1.363	0.463874401223833	0.998825943195549
All	1	CA2	HLA_DPA1.04	0.001	458	16.437	0.152	0.991206212115884	0.998825943195549
All	1	CA2	HLA_DPA1.04.01	0.001	458	16.437	0.152	0.991206212115884	0.998825943195549
All	1	CA2	HLA_DPB1.01	0.057	458	0.098	0.307	0.74998139647774	0.998825943195549
All	1	CA2	HLA_DPB1.01.01	0.057	458	0.098	0.307	0.74998139647774	0.998825943195549
All	1	CA2	HLA_DPB1.02	0.155	458	0.124	0.182	0.495924141828009	0.998825943195549
All	1	CA2	HLA_DPB1.02.01	0.148	458	0.123	0.185	0.506868255382811	0.998825943195549
All	1	CA2	HLA_DPB1.02.02	0.008	458	0.089	0.707	0.899314670498818	0.998825943195549
All	1	CA2	HLA_DPB1.03	0.095	458	0.06	0.223	0.787821381652923	0.998825943195549
All	1	CA2	HLA_DPB1.03.01	0.095	458	0.06	0.223	0.787821381652923	0.998825943195549
All	1	CA2	HLA_DPB1.04	0.537	458	-0.128	0.132	0.331277127964136	0.998825943195549
All	1	CA2	HLA_DPB1.04.01	0.444	458	-0.046	0.132	0.728803830460241	0.998825943195549
All	1	CA2	HLA_DPB1.04.02	0.093	458	-0.233	0.22	0.290158386686606	0.998825943195549
All	1	CA2	HLA_DPB1.05	0.015	458	-0.225	0.475	0.636110304340107	0.998825943195549
All	1	CA2	HLA_DPB1.05.01	0.015	458	-0.225	0.475	0.636110304340107	0.998825943195549
All	1	CA2	HLA_DPB1.06	0.02	458	-0.104	0.495	0.834340653754896	0.998825943195549
All	1	CA2	HLA_DPB1.06.01	0.02	458	-0.104	0.495	0.834340653754896	0.998825943195549
All	1	CA2	HLA_DPB1.09	0.007	458	0.163	0.715	0.82010974407804	0.998825943195549
All	1	CA2	HLA_DPB1.09.01	0.007	458	0.163	0.715	0.82010974407804	0.998825943195549
All	1	CA2	HLA_DPB1.10	0.009	458	1.146	0.886	0.200008196476869	0.998825943195549
